[FILL] a	ADJ	AGENT	ACTION	OBJECT/PATIENT	QUALIFIER	VERB (sourceof, provide, etc)	WHAT IT PROVIDES	[FILL] called	NAME	[FILL] to/for	AGENT IT PROVIDES THING TO	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
a		battery				is a source of	electrical energy; electricity											#432		c6c3-2053-aaf7-86fe	
a		battery				is a source of	electricity											#1293	Duplicate. All uses replaced.	a952-ae30-5723-87db	
a		body of water				is a source of	water											#2072		9a28-67a2-0019-9ec2	
			burning	gasoline; oil		is a source of	air pollution											#579		86ae-9fcc-40d0-77ab	
			burning	natural gas		is a source of	air pollution													3fdc-68e4-e076-d381	
			burning	fossil fuels		is a source of	air pollution													82b9-31d9-285c-ed0b	
a		candle				is a source of	light									when it is burned		# Q 689		887f-3af4-3e07-807d	
a		car engine				is a source of	heat											#1310		4aa8-45fb-6589-f574	
a		cell				produces	carbon dioxide					for	waste					# for waste?  as waste? (process role instead?)		beb8-cabb-ae24-b0ab	
the		cell membrane				provides	support; protection			for	a cell							# Q 124 #different kind of knowledge?		9315-2889-5172-d68d	
a 		cell wall				provides	support; protection; shape; structure			for 	a plant cell							# Q 95 #different kind of knowledge?		3254-8f73-9122-fec8	
		clouds				produce	precipitation													db52-3ce3-5e7f-1953	
		clouds				produce	rain													d005-63fc-d3da-45e2	
a		coal mine				is a source of	coal									under the ground		# coal mine is under the ground -- remove and add location table?		ef7d-a3f3-6200-ea1d	
a	complete	electrical circuit				is a source of 	electrical energy											not true? COMPLETE IMPLIES THAT IT'S POWERED		647c-26b4-292b-4c96	
		dairy				is a source of	Vitamin D											#1665		5e8b-5290-a9f9-d771	
	dead	organisms				are the source of	nutrients			for	decomposers							# Q 629		779a-4a82-66a1-2ce6	
		electromagnets				generate	magnetic fields 													f662-7035-f75b-8046	
		fertilizers				are a source of	pollution											#581		fb74-d393-266e-0f88	
		fire				gives off	light; heat; smoke													891f-4f5c-91a2-bd31	
a		flashlight				emits	light													0e96-d216-e3de-ce65	
a		flower				is a source of	nectar											#742		b03f-5050-0795-6e43	
a		flower				produces	pollen and seeds													1788-1cd3-6a0a-82f2	
		flowers				are a source of	fruit											# ?		3301-3fc5-5e6e-a711	
		food			can	be a source of	an odor													67c1-b3d2-faa6-6768	
		food				is a source of	energy			for	animals; plants									5753-2812-04c2-af70	
		fuel				is a source of	energy													623f-9df0-d179-3917	
	green	plants				provide	food			for	themselves; animals; consumers			by	performing photosynthesis			#decompose into separate rows?		694b-d9ec-8c65-5a6a	
	grey	clouds				are a source of	precipitation													20a9-322c-b21a-3d54	
a		hand dryer				produces	heat													2e43-a74f-bca2-5d7f	
a		hot plate				is a source of	heat											# Q 1916		945f-acde-29f3-d573	
a	hot	substance				is a source of	heat											#830		bdf8-fbda-ff94-54f5	
an		landfill				is a source of	pollution											#1836		3094-7527-5f14-50d9	
		lightning				is the source of	thunder											# 1081		8f2c-46a2-91be-8eae	
	many	vehicles				emit	pollution									into the air		# separate qualifier from OBJECT/AGENT?		8e30-5411-1171-26fa	
		motion				is a source of	kinetic energy									in an object		#541		9f23-854a-7dc0-c22e	
		musical instruments				make	sound									when they are played				f6ad-39ca-e8e1-b1d7	
		natural gas				is a source of	heat							by	burning					c491-9f0f-8947-cd1b	
		nature				is the source of	natural resources													782c-5d2a-36fe-5676	
		nutrients				are a source of	energy			for	living things							#1253		31c6-d095-6939-21a9	
an		ocean				is a source of	heat and moisture			for	a hurricane							# Q 1773		2030-ad1d-a83f-6581	
		oil				is a source of	energy											# Q 2133		124d-89c9-c195-2ea9	
		oil				is a source of	gasoline											#1217		8507-acd7-51e8-31a1	
an		organism				is a source of	organic material											#1658		964c-a4cf-22a6-5f49	
an		organism				is a source of	organic matter											#573		ddb4-26f4-5edb-1f07	
an		organism	breaking down	sugar		is a source of	carbon dioxide; water											#2175		5c21-873c-7d14-83ef	
an		oven				is a source of	heat											# Q 914		926d-355a-9b2c-c5d1	
