[FILL] An example of	VERB1	AGENT/OBJECT1	SCOPE1	[FILL] is	AGENT/OBJECT2	VERB2	AGENT/OBJECT3	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
An example of a		change	in the Earth	is	an ocean	becoming	a wooded area							#519		3135-2d8c-c018-d7a3	
An example of a		chemical change		is	acid	breaking down	substances							#2031		9213-5a66-7733-0fc8	
An example of a		fossil		is	a paw print							in rock		#453		8867-690e-1dfa-c7b4	
An example of a		fossil		is	the bones		of an extinct animal							# Q 1141		b46a-90cb-8c4d-8e3d	
An example of a		fossil		is	a footprint							in a rock		#1487		8c6a-e1d6-dbe5-e366	
An example of a		mixture		is	salt	shaken	with pepper							very specific to a question		2f3a-a260-7230-3c07	
An example of a		mixture		is	sand; clay; soil	mixed together								#1403		90f7-2aac-1033-925c	
An example of a		reproductive behavior		is	salmon	returning	to their birthplace	to	lay their eggs					#597		d86f-f0eb-8cd4-b579	
An example of a		solution		is	vinegar	mixed	with water							#1091		6d51-d6e6-4789-d0b9	
An example of a		suspension		is	oil	mixed	with water							#1090		8622-9e03-2724-60f7	
An example of an		adaptation		is a 	a cactus spine 											fac5-130b-6a7f-3503	
An example of an		adaptation		is	camel humps									#741		875c-ebc8-05a0-0a18	
An example of an		adaptation		is		moving	fast							#1466		9ee9-6353-1bca-2fa5	
An example of an		inherited behavior		is	a bird	building	a nest							#1026		f7ca-cfe9-d8b4-11a4	
An example of an		instinct		is	the kangaroo's ability	to crawl	into its mother's pouch	to	drink milk					#1029		2be3-eb61-1441-7846	
An example of an		instinctive behavior		is	a baby bird	pecking at	its shell	to	hatch					#346		5c37-d156-8278-962c	
An example of	avoiding	waste		is		using	an object; a material					more than once		# Q 1744		14dd-cb36-7a17-38fa	
An example of		camouflage		is	organism	changing into	the color					of the environment		# 561, refactor?		0a51-236d-27b4-abc4	
